Player name,position,Games,At-bat,Runs,Hits,Double (2B),third baseman,home run,run batted in,a walk,Strikeouts,stolen base ,Win,Loss,Earned run Average,Games played,Games Started,Complete Game
B Surhoff,LF,2313,8258,1062,2326,440,42,188,1153,640,839,141,81,86,4.56,245,245,7
A Pierzynski,C,2059,7290,807,2043,407,24,188,909,308,895,15,136,125,4.37,365,342,11
B Higginson,LF,1362,4910,736,1336,270,33,187,709,649,796,91,67,90,4.45,355,188,0
M Stanley,C,1467,4222,625,1138,220,7,187,702,652,929,13,87,70,4.08,900,61,5
M Semien,2B,1184,4589,686,1171,240,29,187,568,445,1001,107,85,91,4.18,338,227,3
G Hill,RF,1162,3715,528,1005,187,21,186,586,270,845,96,86,99,4.26,361,233,3
R Aurilia,SS,1652,5721,745,1576,301,22,186,756,450,861,23,99,99,4.29,298,277,13
M Minoso,LF,1835,6579,1136,1963,336,83,186,1023,814,584,205,123,108,3.59,325,322,62
M Moreland,1B,1260,4071,527,1020,219,9,186,618,385,975,11,123,127,4.14,355,332,61
A Trammell,SS,2293,8288,1231,2365,412,55,185,1003,850,874,236,59,50,3.78,758,34,0
C Chambliss,1B,2175,7571,912,2109,392,42,185,972,632,926,40,52,53,2.86,948,0,0
M Young,SS,1970,7918,1137,2375,441,60,185,1030,575,1235,90,145,113,3.82,476,305,74
B Jordan,RF,1456,5160,755,1454,267,37,184,821,353,842,119,74,90,3.69,703,98,4
C Gehringer,2B,2323,8860,1775,2839,574,146,184,1427,1186,372,181,115,137,3.72,407,310,87
B Watson,1B,1831,6185,802,1826,307,41,184,989,653,796,27,192,121,3.19,445,343,192
F Lindor,SS,1068,4236,680,1172,233,23,184,582,406,731,125,82,81,4.62,400,227,4
H Heilmann,RF,2146,7787,1291,2660,542,151,183,1539,856,550,113,97,101,3.94,505,200,75
T Henrich,RF,1284,4603,901,1297,269,73,183,795,712,383,37,119,113,4.08,394,283,73
W Davis,CF,2429,9174,1217,2561,395,138,182,1053,418,977,398,182,106,2.28,399,300,201
S Balboni,1B,960,3120,351,714,127,11,181,495,273,856,1,138,119,3.46,345,317,71
I Desmond,SS,1478,5442,724,1432,277,37,181,711,387,1402,181,200,166,4,513,368,232
B Herman,RF,1553,5603,882,1818,399,110,181,997,520,553,94,109,95,4.03,346,283,16
N Castellanos,RF,1225,4644,599,1285,308,35,181,658,325,1166,21,157,120,3.57,321,301,264
S Chapman,CF,1368,4988,754,1329,210,52,180,773,562,682,41,61,75,2.87,1034,0,0
W Held,SS,1390,4019,524,963,150,22,179,559,508,944,14,105,100,3.29,479,199,63
D Crandall,C,1573,5026,585,1276,179,18,179,657,424,477,26,168,136,3.76,498,422,67
J Rudi,LF,1547,5556,684,1468,287,39,179,810,369,870,25,194,179,3.24,550,367,206
J Gentile,1B,936,2922,434,759,113,6,179,549,475,663,3,149,90,3.56,344,294,136
J Gallo,OF,755,2374,403,474,90,9,179,390,418,1052,29,115,98,3.65,351,291,41
T Lazzeri,2B,1740,6297,986,1840,334,115,178,1191,869,864,148,111,110,3.36,374,260,72
H Clift,3B,1582,5730,1070,1558,309,62,178,829,1070,713,69,170,177,3.01,391,352,306
Y Grandal,C,1122,3575,477,848,160,7,178,534,621,994,12,89,85,4.99,271,270,10
M Olson,1B,740,2675,412,669,146,1,178,479,349,730,7,114,112,3.68,343,263,78
C Cron,1B,982,3427,435,896,184,10,178,574,253,865,10,108,91,4.32,386,237,4
R Kittle,LF,843,2708,356,648,100,3,176,460,236,744,16,140,119,3.71,394,346,52
Y Molina,C,2226,7817,777,2168,408,7,176,1022,542,922,71,113,97,4.07,352,247,63
D Money,3B,1720,6214,798,1623,302,36,176,729,600,865,80,142,97,3.27,428,281,111
R Grichuk,RF,1024,3534,471,874,199,24,175,512,207,990,25,116,126,4.72,361,309,32
H Matsui,LF,1236,4442,656,1253,249,12,175,760,547,689,13,82,79,3.46,718,89,13
B Belt,1B,1312,4397,628,1147,268,36,175,584,618,1209,47,175,146,2.93,336,322,312
T Story,2B,839,3179,516,853,202,27,174,516,298,987,113,96,92,3.14,824,39,5
C Yelich,LF,1253,4730,798,1355,261,31,174,630,656,1192,157,43,28,2.45,767,0,0
R Odor,2B,1096,3909,521,902,177,29,174,550,253,1008,68,198,160,3.3,428,398,242
B Buckner,1B,2517,9397,1077,2715,498,49,174,1208,450,453,183,113,109,3.69,353,264,83
J Schoop,3B,1135,4187,542,1066,210,7,174,537,183,996,15,162,150,3.32,444,331,188
J Franco,SS,2527,8677,1285,2586,407,54,173,1194,917,1341,281,100,93,3.6,668,133,35
W Cooper,C,1473,4702,573,1341,240,40,173,812,309,357,18,107,109,4.1,312,300,9
K Calhoun,RF,1196,4291,618,1042,198,18,173,557,437,1089,34,177,89,2.36,277,268,256
M Grace,1B,2245,8065,1179,2445,511,45,173,1146,1075,642,70,79,104,4.38,247,247,6
N Colbert,1B,1004,3422,481,833,141,25,173,520,383,902,52,82,104,4.56,297,268,10
J Pederson,1B,1023,2976,460,705,150,13,173,436,387,831,22,128,116,3.49,350,292,126
E Robinson,1B,1315,4282,546,1146,172,24,172,723,521,359,10,41,36,2.35,710,0,0
M Vernon,1B,2409,8731,1196,2495,490,120,172,1311,955,869,137,175,212,3.68,433,388,342
